ID,Predicted Value
1,9
2,7
3,9
4,7
5,7
6,9
7,9
8,9
9,7
10,9
11,7
12,9
13,9
14,7
15,9
16,7
17,7
18,9
19,9
20,7
21,5
22,7
23,7
24,7
25,9
26,7
27,7
28,9
29,9
30,9
31,7
32,5
33,11
34,9
35,7
36,9
37,7
38,9
39,9
40,9
41,7
42,11
43,7
44,9
45,9
46,7
47,9
48,7
49,9
50,9
51,9
52,9
53,7
54,9
55,9
56,7
57,7
58,7
59,7
60,9
61,9
62,9
63,9
64,9
65,7
66,9
67,7
68,7
69,9
70,7
71,9
72,7
73,9
74,9
75,9
76,9
77,7
78,9
79,7
80,7
81,7
82,9
83,13
84,7
85,9
86,7
87,7
88,9
89,9
90,7
91,9
92,7
93,9
94,9
95,5
96,7
97,5
98,7
99,9
100,14
101,5
102,9
103,9
104,9
105,9
106,7
107,9
108,9
109,9
110,14
111,5
112,7
113,7
114,9
115,7
116,9
117,7
118,9
119,7
120,7
121,9
122,9
123,7
124,7
125,9
126,9
127,9
128,9
129,8
130,9
131,9
132,7
133,9
134,9
135,7
136,5
137,7
138,7
139,9
140,7
141,7
142,9
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,5
153,9
154,9
155,9
156,9
157,9
158,9
159,7
160,7
161,9
162,9
163,9
164,13
165,9
166,9
167,9
168,7
169,16
170,7
171,7
172,7
173,9
174,9
175,7
176,7
177,7
178,7
179,14
180,7
181,7
182,5
183,9
184,7
185,9
186,7
187,9
188,9
189,9
190,9
191,7
192,7
193,9
194,9
195,7
196,7
197,7
198,9
199,7
200,9
201,9
202,5
203,7
204,7
205,7
206,9
207,9
208,9
209,7
210,7
211,9
212,9
213,7
214,8
215,9
216,9
217,9
218,7
219,9
220,9
221,5
222,9
223,9
224,13
225,9
226,7
227,7
228,9
229,9
230,7
231,7
232,7
233,7
234,9
235,9
236,9
237,5
238,7
239,9
240,9
241,9
242,7
243,7
244,9
245,11
246,9
247,9
248,9
249,7
250,9
251,9
252,9
253,7
254,14
255,7
256,9
257,7
258,9
259,7
260,15
261,7
262,7
263,7
264,9
265,9
266,7
267,7
268,9
269,7
270,7
271,9
272,5
273,7
274,7
275,7
276,9
277,9
278,9
279,9
280,9
281,7
282,7
283,13
284,9
285,13
286,7
287,11
288,9
289,9
290,9
291,13
292,5
293,7
294,5
295,9
296,9
297,15
298,7
299,7
300,9
301,7
302,9
303,0
304,5
305,7
306,7
307,7
308,7
309,9
310,7
311,7
312,9
313,7
314,7
315,7
316,7
317,9
318,7
319,7
320,9
321,5
322,9
323,9
324,7
325,9
326,7
327,7
328,7
329,9
330,9
331,7
332,7
333,14
334,7
335,9
336,7
337,7
338,9
339,7
340,7
341,9
342,9
343,9
344,7
345,9
346,7
347,7
348,7
349,9
350,9
351,7
352,7
353,9
354,9
355,9
356,9
357,7
358,7
359,9
360,9
361,9
362,7
363,7
364,9
365,7
366,7
367,9
368,9
369,7
370,9
371,9
372,9
373,7
374,9
375,9
376,7
377,16
378,7
379,7
380,7
381,9
382,7
383,9
384,9
385,7
386,9
387,5
388,7
389,9
390,9
391,5
392,7
393,7
394,7
395,9
396,14
397,9
398,7
399,7
400,9
401,7
402,7
403,9
404,9
405,9
406,9
407,9
408,9
409,15
410,9
411,7
412,9
413,7
414,7
415,11
416,9
417,9
418,7
419,9
420,9
421,7
422,9
423,9
424,11
425,9
426,7
427,9
428,5
429,9
430,9
431,7
432,7
433,9
434,9
435,9
436,9
437,13
438,7
439,9
440,9
441,9
442,7
443,7
444,9
445,7
446,7
447,7
448,9
449,7
450,9
451,9
452,9
453,7
454,7
455,9
456,0
457,7
458,7
459,7
460,9
461,7
462,9
463,9
464,9
465,7
466,7
467,9
468,7
469,0
470,14
471,5
472,9
473,7
474,9
475,7
476,7
477,13
478,9
479,7
480,7
481,9
482,9
483,7
484,9
485,9
486,9
487,7
488,9
489,7
490,9
491,7
492,7
493,7
494,7
495,9
496,9
497,7
498,7
499,7
500,7
501,9
502,9
503,9
504,7
505,7
506,7
507,5
508,5
509,9
510,9
511,9
512,9
513,9
514,9
515,7
516,7
517,9
518,9
519,9
520,9
521,0
522,7
523,15
524,9
525,7
526,9
527,9
528,7
529,7
530,16
531,7
532,7
533,7
534,7
535,7
536,9
537,5
538,7
539,9
540,9
541,7
542,9
543,7
544,13
545,9
546,9
547,7
548,7
549,7
550,14
551,9
552,9
553,7
554,7
555,7
556,9
557,7
558,9
559,11
560,7
561,7
562,7
563,7
564,9
565,7
566,7
567,9
568,5
569,9
570,7
571,7
572,9
573,9
574,9
575,7
576,9
577,7
578,9
579,7
580,7
581,7
582,9
583,7
584,14
585,9
586,7
587,7
588,9
589,8
590,9
591,7
592,9
593,7
594,9
595,7
596,7
597,9
598,14
599,9
600,9
601,7
602,7
603,7
604,7
605,11
606,9
607,9
608,9
609,7
610,7
611,9
612,9
613,11
614,7
615,9
616,9
617,9
618,13
619,7
620,7
621,9
622,9
623,13
624,9
625,9
626,7
627,7
628,7
629,11
630,9
631,7
632,7
633,9
634,7
635,7
636,9
637,8
638,7
639,9
640,7
641,7
642,9
643,9
644,7
645,9
646,9
647,9
648,9
649,9
650,9
651,7
652,7
653,7
654,9
655,0
656,9
657,9
658,0
659,7
660,7
661,9
662,7
663,9
664,11
665,7
666,9
667,9
668,7
669,16
670,9
671,7
672,7
673,9
674,9
675,7
676,7
677,9
678,9
679,7
680,7
681,9
682,9
683,7
684,9
685,7
686,7
687,7
688,7
689,9
690,9
691,9
692,9
693,9
694,9
695,13
696,7
697,9
698,9
699,7
700,7
701,7
702,7
703,9
704,7
705,7
706,9
707,11
708,7
709,16
710,7
711,9
712,9
713,9
714,9
715,5
716,5
717,7
718,9
719,5
720,14
721,9
722,7
723,9
724,7
725,9
726,9
727,9
728,7
729,7
730,9
731,7
732,9
733,5
734,7
735,7
736,9
737,9
738,9
739,9
740,9
741,9
742,9
743,9
744,9
745,9
746,7
747,9
748,7
749,9
750,7
751,9
752,9
753,9
754,9
755,9
756,9
757,7
758,9
759,9
760,7
761,7
762,7
763,7
764,9
765,7
766,9
767,5
768,7
769,7
770,7
771,7
772,7
773,7
774,7
775,9
776,11
777,9
778,9
779,7
780,9
781,8
782,7
783,7
784,9
785,7
786,7
787,7
788,7
789,7
790,7
791,9
792,9
793,16
794,7
795,9
796,7
797,9
798,9
799,7
800,11
801,11
802,7
803,7
804,9
805,7
806,7
807,9
808,9
809,7
810,9
811,15
812,9
813,9
814,9
815,9
816,7
817,7
818,7
819,7
820,7
821,9
822,9
823,9
824,5
825,7
826,9
827,9
828,7
829,9
830,7
831,7
832,9
833,11
834,9
835,7
836,9
837,7
838,7
839,9
840,9
841,7
842,9
843,7
844,9
845,13
846,9
847,9
848,9
849,7
850,7
851,7
852,7
853,7
854,7
855,9
856,7
857,9
858,7
859,9
860,9
861,9
862,5
863,7
864,11
865,7
866,7
867,9
868,7
869,7
870,7
871,9
872,7
873,9
874,9
875,9
876,9
877,7
878,7
879,9
880,5
881,9
882,9
883,7
884,13
885,7
886,9
887,0
888,9
889,9
890,7
891,9
892,9
893,9
894,9
895,7
896,7
897,7
898,9
899,9
900,7
901,7
902,9
903,7
904,9
905,9
906,9
907,9
908,9
909,9
910,7
911,9
912,7
913,9
914,9
915,9
916,9
917,7
918,9
919,7
920,7
921,7
922,9
923,7
924,7
925,7
926,9
927,9
928,7
929,7
930,9
931,9
932,9
933,9
934,9
935,7
936,9
937,7
938,9
939,9
940,7
941,9
942,7
943,9
944,7
945,7
946,9
947,7
948,7
949,7
950,7
951,5
952,9
953,7
954,9
955,7
956,9
957,9
958,7
959,9
960,7
961,7
962,7
963,9
964,7
965,7
966,0
967,9
968,9
969,9
970,11
971,9
972,7
973,5
974,9
975,7
976,7
977,9
978,7
979,9
980,14
981,7
982,9
983,7
984,9
985,7
986,9
987,9
988,9
989,9
990,9
991,9
992,9
993,14
994,9
995,7
996,7
997,7
998,7
999,9
1000,9
1001,9
1002,7
1003,9
1004,7
1005,7
1006,7
1007,9
1008,7
1009,9
1010,9
