ID,Predicted Value
1,7
2,7
3,7
4,9
5,9
6,9
7,9
8,11
9,9
10,9
11,9
12,7
13,7
14,9
15,9
16,9
17,7
18,7
19,9
20,9
21,9
22,9
23,7
24,7
25,7
26,7
27,7
28,9
29,9
30,7
31,9
32,9
33,9
34,7
35,7
36,9
37,7
38,9
39,9
40,7
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,7
50,9
51,9
52,13
53,9
54,7
55,7
56,9
57,7
58,9
59,9
60,9
61,14
62,7
63,7
64,9
65,9
66,9
67,9
68,9
69,8
70,7
71,9
72,7
73,7
74,13
75,7
76,9
77,7
78,9
79,9
80,9
81,9
82,7
83,9
84,9
85,14
86,7
87,7
88,7
89,11
90,9
91,7
92,7
93,7
94,7
95,7
96,9
97,7
98,9
99,9
100,9
101,9
102,9
103,9
104,9
105,9
106,9
107,7
108,7
109,9
110,7
111,9
112,9
113,9
114,11
115,9
116,9
117,14
118,13
119,7
120,8
121,9
122,7
123,9
124,9
125,7
126,9
127,9
128,9
129,9
130,7
131,7
132,9
133,9
134,9
135,7
136,9
137,7
138,5
139,9
140,9
141,9
142,9
143,7
144,7
145,9
146,9
147,7
148,9
149,7
150,7
151,9
152,9
153,9
154,7
155,5
156,11
157,9
158,9
159,7
160,9
161,9
162,7
163,9
164,9
165,7
166,9
167,9
168,9
169,9
170,7
171,5
172,7
173,7
174,9
175,7
176,9
177,7
178,9
179,13
180,7
181,9
182,9
183,9
184,9
185,5
186,9
187,11
188,7
189,0
190,9
191,9
192,5
193,9
194,9
195,9
196,9
197,9
198,9
199,9
200,7
201,7
202,9
203,9
204,7
205,14
206,9
207,7
208,7
209,9
210,7
211,7
212,7
213,9
214,7
215,7
216,9
217,14
218,7
219,9
220,5
221,9
222,9
223,9
224,9
225,9
226,7
227,9
228,7
229,7
230,9
231,13
232,7
233,9
234,7
235,7
236,7
237,9
238,9
239,7
240,7
241,7
242,7
243,14
244,13
245,5
246,10
247,9
248,13
249,9
250,9
251,9
252,8
253,9
254,9
255,5
256,9
257,9
258,7
259,7
260,9
261,9
262,9
263,9
264,9
265,9
266,7
267,9
268,9
269,7
270,7
271,7
272,14
273,11
274,9
275,7
276,9
277,9
278,7
279,9
280,9
281,7
282,9
283,9
284,7
285,9
286,9
287,7
288,7
289,9
290,7
291,7
292,0
293,7
294,7
295,7
296,7
297,7
298,7
299,7
300,9
301,7
302,9
303,9
304,9
305,7
306,7
307,9
308,14
309,7
310,7
311,9
312,9
313,9
314,7
315,7
316,9
317,7
318,9
319,9
320,7
321,7
322,7
323,9
324,13
325,7
326,9
327,9
328,9
329,7
330,7
331,7
332,9
333,9
