ID,Predicted Value
1,14
2,9
3,7
4,9
5,7
6,9
7,13
8,7
9,9
10,9
11,7
12,7
13,7
14,7
15,9
16,7
17,9
18,9
19,14
20,9
21,9
22,9
23,9
24,9
25,9
26,5
27,7
28,9
29,7
30,9
31,8
32,9
33,9
34,9
35,7
36,13
37,7
38,9
39,7
40,9
41,9
42,9
43,7
44,7
45,9
46,7
47,7
48,7
49,7
50,7
51,8
52,9
53,7
54,9
55,7
56,9
57,9
58,7
59,7
60,9
61,7
62,9
63,7
64,9
65,9
66,9
67,9
68,9
69,7
70,9
71,9
72,9
73,9
74,9
75,7
76,5
77,7
78,11
79,7
80,9
81,10
82,7
83,9
84,11
85,7
86,5
87,9
88,9
89,9
90,7
91,9
92,7
93,9
94,7
95,9
96,9
97,7
98,9
99,7
100,9
101,9
102,7
103,9
104,5
105,7
106,7
107,7
108,7
109,7
110,9
111,9
112,7
113,9
114,9
115,9
116,9
117,9
118,14
119,9
120,9
121,9
122,9
123,9
124,13
125,9
126,9
127,9
128,8
129,9
130,9
131,9
132,9
133,7
134,7
135,9
136,9
137,14
138,9
139,7
140,9
141,9
142,9
143,7
144,9
145,9
146,13
147,9
148,7
149,7
150,7
151,5
152,9
153,7
154,7
155,11
156,9
157,9
158,9
159,13
160,11
161,9
162,7
163,9
164,11
165,9
166,7
167,7
168,9
169,11
170,7
171,9
172,9
173,9
174,7
175,9
176,7
177,9
178,7
179,7
180,7
181,9
182,7
183,9
184,9
185,9
186,9
187,9
188,15
189,9
190,9
191,13
192,7
193,9
194,5
195,9
196,9
197,9
198,7
199,9
200,7
201,5
202,11
203,9
204,9
205,9
206,11
207,9
208,9
209,9
210,9
211,7
212,9
213,7
214,7
215,13
216,7
217,9
218,7
219,13
220,9
221,5
222,7
223,15
224,7
225,9
226,9
227,14
228,9
229,7
230,9
231,7
232,9
233,9
234,8
235,9
236,7
237,9
238,7
239,7
240,9
241,7
242,7
243,7
244,9
245,7
246,7
247,7
248,7
249,9
250,9
251,9
252,9
253,7
254,9
255,9
256,7
257,7
258,7
259,9
260,10
261,7
262,9
263,9
264,9
265,9
266,9
267,16
268,9
269,7
270,9
271,9
272,9
273,9
274,7
275,11
276,13
277,7
278,7
279,9
280,9
281,7
282,9
283,7
284,9
285,9
286,9
287,7
288,7
289,7
290,9
291,9
292,11
293,9
294,7
295,9
296,7
297,9
298,9
299,5
300,7
301,9
302,7
303,9
304,9
305,7
306,9
307,9
308,7
309,9
310,9
311,13
312,7
313,16
314,9
315,9
316,9
317,7
318,9
319,9
320,7
321,7
322,7
323,9
324,9
325,9
326,9
327,9
328,7
329,9
330,9
331,9
332,7
333,7
334,9
335,9
336,9
337,9
338,7
339,7
340,9
341,9
342,9
343,7
344,7
345,7
346,11
347,9
348,7
349,9
350,7
351,7
352,9
353,5
354,9
355,9
356,9
357,9
358,7
359,9
360,9
361,9
362,7
363,9
364,9
365,9
366,9
367,7
368,9
369,7
370,9
371,9
372,9
373,7
374,7
375,7
376,9
377,9
378,9
379,14
380,7
381,5
382,9
383,9
384,9
385,9
386,7
387,9
388,7
389,7
390,7
391,9
392,9
393,11
394,9
395,7
396,7
397,9
398,7
399,9
400,11
401,7
402,9
403,7
404,9
405,13
406,13
407,9
408,9
409,10
410,7
411,9
412,7
413,7
414,7
415,5
416,7
417,9
418,7
419,9
420,9
421,7
422,9
423,9
424,7
425,7
426,7
427,9
428,9
429,9
430,7
431,8
432,9
433,7
434,9
435,9
436,9
437,9
438,7
439,7
440,9
441,9
442,9
443,13
444,9
445,9
446,7
447,9
448,5
449,7
450,9
451,9
452,9
453,9
454,7
455,9
456,7
457,9
458,7
459,9
460,9
461,16
462,9
463,9
464,9
465,7
466,7
467,11
468,7
469,9
470,7
471,9
472,9
473,15
474,7
475,9
476,9
477,9
478,9
479,9
480,7
481,9
482,9
483,9
484,9
485,7
486,9
487,9
488,9
489,9
490,7
491,7
492,7
493,9
494,7
495,9
496,14
497,9
498,7
499,9
500,7
501,9
502,11
503,7
504,7
505,9
506,7
507,9
508,7
509,7
510,9
511,7
512,7
513,9
514,7
515,7
516,9
517,5
518,9
519,9
520,8
521,13
522,9
523,9
524,9
525,9
526,9
527,7
528,9
529,7
530,7
531,7
532,9
533,9
534,9
535,11
536,9
537,9
538,9
539,9
540,7
541,9
542,7
543,9
544,9
545,11
546,14
547,7
548,7
549,9
550,9
551,9
552,9
553,9
554,9
555,7
556,5
557,7
558,7
559,9
560,5
561,9
562,7
563,9
564,7
565,9
566,9
567,9
568,9
569,7
570,7
571,7
572,9
573,7
574,9
575,13
576,9
577,7
578,9
579,9
580,9
581,11
582,11
583,9
584,9
585,7
586,9
587,9
588,11
589,9
590,7
591,7
592,9
593,9
594,9
595,9
596,9
597,14
598,0
599,7
600,7
601,9
602,9
603,9
604,9
605,7
606,7
607,7
608,9
609,7
610,9
611,7
612,7
613,9
614,7
615,9
616,7
617,9
618,9
619,9
620,7
621,7
622,9
623,7
624,9
625,9
626,7
627,9
628,9
629,7
630,9
631,7
632,9
633,7
634,9
635,9
636,7
637,9
638,7
639,7
640,9
641,7
642,9
643,9
644,9
645,9
646,7
647,9
648,9
649,7
650,9
651,9
652,9
653,9
654,9
655,9
656,11
657,7
658,7
659,7
660,9
661,9
662,14
663,7
664,5
665,9
666,7
667,7
668,9
669,7
670,9
671,14
672,7
673,9
674,9
675,5
676,15
677,9
678,9
679,7
680,7
681,7
682,9
683,7
684,7
685,7
686,7
687,7
688,9
689,9
690,9
691,7
692,9
693,15
694,13
695,9
696,8
697,9
698,7
699,9
700,5
701,9
702,8
703,7
704,14
705,7
706,7
707,7
708,9
709,9
710,9
711,7
712,5
713,9
714,7
715,7
716,9
717,9
718,9
719,15
720,9
721,9
722,7
723,7
724,9
725,9
