ID,Predicted Value
1,7
2,13
3,9
4,13
5,7
6,9
7,7
8,9
9,7
10,9
11,9
12,15
13,14
14,14
15,9
16,9
17,14
18,9
19,9
20,16
21,7
22,7
23,7
24,9
25,9
26,9
27,9
28,9
29,7
30,7
31,9
32,9
33,9
34,9
35,9
36,2
37,9
38,9
39,9
40,9
41,7
42,7
43,5
44,9
45,7
46,7
47,9
48,7
49,7
50,9
51,9
52,7
53,7
54,9
55,7
56,9
57,7
58,5
59,9
60,9
61,7
62,9
63,9
64,7
65,11
66,5
67,9
68,9
69,13
70,9
71,9
72,7
73,9
74,7
75,11
76,16
77,7
78,9
79,9
80,9
81,8
82,7
83,7
84,9
85,9
86,14
87,9
88,9
89,7
90,7
91,9
92,7
93,7
94,7
95,9
96,9
97,9
98,9
99,7
100,14
101,9
102,9
103,7
104,7
105,7
106,7
107,9
108,9
109,9
110,7
111,9
112,9
113,7
114,9
115,9
116,9
117,8
118,9
119,7
120,7
121,9
122,9
123,7
124,9
125,9
126,9
127,9
128,9
129,9
130,13
131,7
132,9
133,9
134,9
135,14
136,8
137,9
138,7
139,7
140,7
141,11
142,9
143,14
144,9
145,7
146,7
147,9
148,9
149,7
150,7
151,11
152,11
153,7
154,9
155,9
156,9
157,9
158,9
159,9
160,9
161,7
162,11
163,9
164,7
165,9
166,9
167,9
168,9
169,7
170,9
171,9
172,9
173,7
174,7
175,9
176,7
177,7
178,7
179,9
180,9
181,7
182,7
183,9
184,11
185,7
186,7
187,13
188,7
189,9
190,9
191,7
192,9
193,13
194,9
195,9
196,9
197,11
198,9
199,7
200,9
201,7
202,9
203,7
204,9
205,5
206,9
207,9
208,5
209,9
210,9
211,7
212,9
213,9
214,9
215,9
216,7
217,9
218,9
219,7
220,7
221,7
222,9
223,9
224,9
225,7
226,9
227,9
228,9
229,9
230,9
231,14
232,9
233,7
234,7
235,9
236,7
237,13
238,7
239,9
240,7
241,7
242,7
243,7
244,9
245,5
246,9
247,9
248,13
249,7
250,7
251,9
252,9
253,9
254,9
255,7
256,9
257,9
258,7
259,9
260,9
261,7
262,9
263,11
264,9
265,9
266,7
267,15
268,7
269,7
270,8
271,9
272,9
273,7
274,7
275,9
276,7
277,7
278,7
279,7
280,7
281,9
282,14
283,7
284,9
285,9
286,9
287,9
288,7
289,7
290,7
291,7
292,9
293,7
294,7
295,9
296,9
297,9
298,7
299,11
300,9
301,5
302,7
303,9
304,9
305,7
306,7
307,9
308,14
309,9
310,9
311,11
312,7
313,9
